condition	dataset	number	ended	n_iter	completed	tree_size	hours
full	sim	001	TRUE	2e+07	TRUE	30	154.886
full	sim	002	TRUE	2e+07	TRUE	106	416.045
full	sim	003	TRUE	2e+07	TRUE	117	436.659
full	sim	004	TRUE	2e+07	TRUE	147	469.152
full	sim	005	TRUE	2e+07	TRUE	33	172.022
full	sim	006	FALSE	8136800	FALSE	214	NA
full	sim	007	TRUE	2e+07	TRUE	120	434.985
full	sim	008	TRUE	2e+07	TRUE	82	362.984
full	sim	009	TRUE	2e+07	TRUE	147	457.712
full	sim	010	TRUE	2e+07	TRUE	68	319.108
full	sim	011	TRUE	2e+07	TRUE	63	300.989
full	sim	012	TRUE	2e+07	TRUE	44	225.396
full	sim	013	FALSE	11072600	FALSE	163	NA
full	sim	014	TRUE	2e+07	TRUE	221	508.669
full	sim	015	FALSE	9295500	FALSE	199	NA
full	sim	016	TRUE	2e+07	TRUE	182	487.195
full	sim	017	TRUE	2e+07	TRUE	44	221.696
full	sim	018	TRUE	2e+07	TRUE	27	139.088
full	sim	019	TRUE	2e+07	TRUE	44	228.836
full	sim	020	TRUE	2e+07	TRUE	48	246.515
full	sim	021	TRUE	2e+07	TRUE	95	403.251
full	sim	022	TRUE	2e+07	TRUE	59	292.996
full	sim	023	TRUE	2e+07	TRUE	52	262.56
full	sim	024	TRUE	2e+07	TRUE	103	414.566
full	sim	025	TRUE	2e+07	TRUE	70	321.093
full	sim	026	TRUE	2e+07	TRUE	57	280.917
full	sim	027	TRUE	2e+07	TRUE	32	164.45
full	sim	028	TRUE	2e+07	TRUE	24	121.898
full	sim	029	TRUE	2e+07	TRUE	40	210.162
full	sim	030	TRUE	2e+07	TRUE	34	176.806
full	sim	031	TRUE	2e+07	TRUE	106	150.488
full	sim	032	TRUE	2e+07	TRUE	46	237.554
full	sim	033	TRUE	2e+07	TRUE	194	191.153
full	sim	034	TRUE	2e+07	TRUE	57	285.638
full	sim	035	TRUE	2e+07	TRUE	157	175.517
full	sim	036	TRUE	2e+07	TRUE	215	206.545
full	sim	037	TRUE	2e+07	TRUE	50	252.336
full	sim	038	TRUE	2e+07	TRUE	111	153.996
full	sim	039	TRUE	2e+07	TRUE	76	127.653
full	sim	040	TRUE	2e+07	TRUE	63	117.197
full	sim	041	TRUE	2e+07	TRUE	42	220.002
full	sim	042	TRUE	2e+07	TRUE	53	266.48
full	sim	043	TRUE	2e+07	TRUE	107	151.767
full	sim	044	TRUE	2e+07	TRUE	33	173.119
full	sim	045	TRUE	2e+07	TRUE	62	324.364
full	sim	046	TRUE	2e+07	TRUE	167	489.132
full	sim	047	TRUE	2e+07	TRUE	83	355.536
full	sim	048	TRUE	2e+07	TRUE	39	209.832
full	sim	049	TRUE	2e+07	TRUE	51	258.905
full	sim	050	TRUE	2e+07	TRUE	101	404.581
full	sim	051	TRUE	2e+07	TRUE	45	226.935
full	sim	052	TRUE	2e+07	TRUE	174	482.14
full	sim	053	TRUE	2e+07	TRUE	153	465.524
full	sim	054	TRUE	2e+07	TRUE	68	315.455
full	sim	055	TRUE	2e+07	TRUE	212	501.322
full	sim	056	TRUE	2e+07	TRUE	137	450.396
full	sim	057	TRUE	2e+07	TRUE	42	220.499
full	sim	058	TRUE	2e+07	TRUE	109	412.261
full	sim	059	TRUE	2e+07	TRUE	43	221.656
full	sim	060	TRUE	2e+07	TRUE	78	343.284
full	sim	061	TRUE	2e+07	TRUE	31	158.754
full	sim	062	TRUE	2e+07	TRUE	22	108.111
full	sim	063	TRUE	2e+07	TRUE	109	412.96
full	sim	064	TRUE	2e+07	TRUE	35	180.53
full	sim	065	TRUE	2e+07	TRUE	26	129.955
full	sim	066	TRUE	2e+07	TRUE	76	337.031
full	sim	067	TRUE	2e+07	TRUE	61	287.738
full	sim	068	TRUE	2e+07	TRUE	160	468.931
full	sim	069	TRUE	2e+07	TRUE	94	379.325
full	sim	070	TRUE	2e+07	TRUE	98	388.878
full	sim	071	TRUE	2e+07	TRUE	63	295.339
full	sim	072	TRUE	2e+07	TRUE	169	476.561
full	sim	073	TRUE	2e+07	TRUE	99	390.523
full	sim	074	TRUE	2e+07	TRUE	192	496.135
full	sim	075	TRUE	2e+07	TRUE	31	159.526
full	sim	076	TRUE	2e+07	TRUE	177	489.057
full	sim	077	TRUE	2e+07	TRUE	93	371.344
full	sim	078	TRUE	2e+07	TRUE	204	495.146
full	sim	079	TRUE	2e+07	TRUE	39	202.962
full	sim	080	TRUE	2e+07	TRUE	53	265.338
full	sim	081	TRUE	2e+07	TRUE	75	337.103
full	sim	082	TRUE	2e+07	TRUE	123	432.265
full	sim	083	TRUE	2e+07	TRUE	85	360.712
full	sim	084	FALSE	9119300	FALSE	206	NA
full	sim	085	TRUE	2e+07	TRUE	35	182.493
full	sim	086	TRUE	2e+07	TRUE	110	152.986
full	sim	087	TRUE	2e+07	TRUE	90	139.376
full	sim	088	TRUE	2e+07	TRUE	78	131.083
full	sim	089	TRUE	2e+07	TRUE	71	327.325
full	sim	090	TRUE	2e+07	TRUE	118	434.969
full	sim	091	TRUE	2e+07	TRUE	179	486.52
full	sim	092	TRUE	2e+07	TRUE	35	181.512
